NSX, Description, New Price, Discount percent, Old Price, 
L'Oreal, Nước Tẩy Trang L'Oreal Tươi Mát Cho Da Dầu, 158.000 ₫, 28%, 219.000 ₫, 
Klairs, Nước Hoa Hồng Klairs Không Mùi Cho Da Nhạy Cảm 180ml, 266.000 ₫, 35%, 409.000 ₫, 
La Roche-Posay, Kem Chống Nắng La Roche-Posay Kiểm Soát Dầu SPF50+ 50ml, 396.000 ₫, 26%, 535.000 ₫, 
Skin1004, Kem Chống Nắng Skin1004 Cho Da Nhạy Cảm SPF 50+ 50ml, 276.000 ₫, 35%, 425.000 ₫, 
L'Oreal, Nước Tẩy Trang L'Oreal Làm Sạch Sâu Trang Điểm 400ml, 159.000 ₫, 27%, 219.000 ₫, 
Anessa, Sữa Chống Nắng Anessa Dưỡng Da Kiềm Dầu 60ml, 393.000 ₫, 45%, 715.000 ₫, 
Bioderma, Nước Tẩy Trang Bioderma Dành Cho Da Nhạy Cảm 500ml, 393.000 ₫, 25%, 525.000 ₫, 
CeraVe, Sữa Rửa Mặt CeraVe Sạch Sâu Cho Da Thường Đến Da Dầu 473ml, 389.000 ₫, 12%, 440.000 ₫, 
Bioderma, Nước Tẩy Trang Bioderma Dành Cho Da Dầu & Hỗn Hợp 500ml, 393.000 ₫, 25%, 525.000 ₫, 
Anessa, Sữa Chống Nắng Anessa Cho Da Nhạy Cảm & Trẻ Em 60ml, 393.000 ₫, 45%, 715.000 ₫, 
Cosrx, Gel Rửa Mặt Cosrx Tràm Trà, 118.000 ₫, 65%, 339.000 ₫, 
La Roche-Posay, Nước Tẩy Trang La Roche-Posay Dành Cho Da Nhạy Cảm 400ml, 370.000 ₫, 25%, 495.000 ₫, 
L'Oreal, Nước Tẩy Trang L'Oreal Dưỡng Ẩm Cho Da Thường, 159.000 ₫, 27%, 219.000 ₫, 
La Roche-Posay, Kem Dưỡng La Roche-Posay Giúp Phục Hồi Da Đa Công Dụng 40ml, 310.000 ₫, 21%, 390.000 ₫, 
Garnier, Nước Tẩy Trang Garnier Dành Cho Da Dầu Và Mụn 400ml (Mới), 139.000 ₫, 18%, 169.000 ₫, 
Paula's Choice, Dung Dịch Tẩy Da Chết Paula’s Choice 2% BHA 30ml, 199.000 ₫, 50%, 399.000 ₫, 
Cetaphil, Sữa Rửa Mặt Cetaphil Dịu Lành Cho Da Nhạy Cảm 500ml (Mới), 329.000 ₫, 21%, 419.000 ₫, 
GoodnDoc, Serum GoodnDoc Dưỡng Ẩm, 348.000 ₫, 29%, 490.000 ₫, 
L'Oreal, Serum L'Oreal Hyaluronic Acid Cấp Ẩm Sáng Da 30ml, 329.000 ₫, 31%, 479.000 ₫, 
Olay, Kem Dưỡng Olay Luminous Sáng Da Mờ Thâm Nám Ban Đêm 50g, 191.000 ₫, 29%, 270.000 ₫, 
L'Oreal, Kem Chống Nắng L'Oreal Paris X20 Thoáng Da Mỏng Nhẹ 50ml, 259.000 ₫, 26%, 349.000 ₫, 
Neutrogena, Kem Dưỡng Ẩm Neutrogena Cấp Nước Cho Da Dầu 50g, 243.000 ₫, 38%, 389.000 ₫, 
Sunplay, Sữa Chống Nắng Sunplay Skin Aqua Dưỡng Da Sáng Mịn 55g, 175.000 ₫, 16%, 208.000 ₫, 
Garnier, Serum Garnier Giảm Mụn Mờ Thâm Cho Da Dầu, 259.000 ₫, 21%, 329.000 ₫, 
Cocoon, Nước Tẩy Trang Bí Đao Cocoon Làm Sạch & Giảm Dầu 500ml, 236.000 ₫, 20%, 295.000 ₫, 
Gamma Chemicals, Gel Dưỡng Megaduo Giảm Mụn, 114.000 ₫, 29%, 160.000 ₫, 
SVR, Gel Rửa Mặt SVR Không Chứa Xà Phòng Cho Da Dầu 400ml, 429.000 ₫, 21%, 540.000 ₫, 
La Roche-Posay, Gel Rửa Mặt La Roche-Posay Dành Cho Da Dầu, 475.000 ₫, 20%, 595.000 ₫, 
Martiderm, Kem Chống Nắng MartiDerm Phổ Rộng Bảo Vệ Toàn Diện 40ml, 620.000 ₫, 54%, 1.350.000 ₫, 
Klairs, Kem Dưỡng Ẩm Klairs Làm Dịu & Phục Hồi Da Ban Đêm 60g, 374.000 ₫, 35%, 575.000 ₫, 
CeraVe, Sữa Rửa Mặt CeraVe Sạch Sâu Cho Da Thường Đến Da Dầu 236ml, 306.000 ₫, 7%, 330.000 ₫, 
La Roche-Posay, Kem Dưỡng La Roche-Posay Giúp Phục Hồi Da Đa Công Dụng 100ml, 504.000 ₫, 21%, 635.000 ₫, 
La Roche-Posay, Nước Tẩy Trang La Roche-Posay Cho Da Dầu, 371.000 ₫, 25%, 495.000 ₫, 
oh!oh!, Serum oh!oh! Dưỡng Sáng Da, 648.000 ₫, 34%, 980.000 ₫, 
Gamma Chemicals, Gel Dưỡng Megaduo Plus Giảm Mụn, 128.000 ₫, 34%, 195.000 ₫, 
Simple, Sữa Rửa Mặt Simple Giúp Da Sạch Thoáng 150ml, 95.000 ₫, 28%, 132.000 ₫, 
Hada Labo, Kem Rửa Mặt Hada Labo Sạch Sâu Dưỡng Ẩm 80g, 67.000 ₫, 15%, 79.000 ₫, 
La Roche-Posay, Serum La Roche-Posay Giúp Tái Tạo & Phục Hồi Da 30ml, 960.000 ₫, 20%, 1.200.000 ₫, 
Cocoon, Combo 2 Nước Tẩy Trang Bí Đao Cocoon Làm Sạch & Giảm Dầu 500ml, 465.000 ₫, 21%, 590.000 ₫, 
Vichy, Kem Dưỡng Vichy Sáng Da, 920.000 ₫, 20%, 1.150.000 ₫, 
L'Oreal, Nước Tẩy Trang L'Oreal Tươi Mát Cho Da Dầu, 158.000 ₫, 28%, 219.000 ₫, 
Klairs, Nước Hoa Hồng Klairs Không Mùi Cho Da Nhạy Cảm 180ml, 266.000 ₫, 35%, 409.000 ₫, 
La Roche-Posay, Kem Chống Nắng La Roche-Posay Kiểm Soát Dầu SPF50+ 50ml, 396.000 ₫, 26%, 535.000 ₫, 
Skin1004, Kem Chống Nắng Skin1004 Cho Da Nhạy Cảm SPF 50+ 50ml, 276.000 ₫, 35%, 425.000 ₫, 
L'Oreal, Nước Tẩy Trang L'Oreal Làm Sạch Sâu Trang Điểm 400ml, 159.000 ₫, 27%, 219.000 ₫, 
Anessa, Sữa Chống Nắng Anessa Dưỡng Da Kiềm Dầu 60ml, 393.000 ₫, 45%, 715.000 ₫, 
Bioderma, Nước Tẩy Trang Bioderma Dành Cho Da Nhạy Cảm 500ml, 393.000 ₫, 25%, 525.000 ₫, 
CeraVe, Sữa Rửa Mặt CeraVe Sạch Sâu Cho Da Thường Đến Da Dầu 473ml, 389.000 ₫, 12%, 440.000 ₫, 
Bioderma, Nước Tẩy Trang Bioderma Dành Cho Da Dầu & Hỗn Hợp 500ml, 393.000 ₫, 25%, 525.000 ₫, 
Anessa, Sữa Chống Nắng Anessa Cho Da Nhạy Cảm & Trẻ Em 60ml, 393.000 ₫, 45%, 715.000 ₫, 
Cosrx, Gel Rửa Mặt Cosrx Tràm Trà, 118.000 ₫, 65%, 339.000 ₫, 
La Roche-Posay, Nước Tẩy Trang La Roche-Posay Dành Cho Da Nhạy Cảm 400ml, 370.000 ₫, 25%, 495.000 ₫, 
L'Oreal, Nước Tẩy Trang L'Oreal Dưỡng Ẩm Cho Da Thường, 159.000 ₫, 27%, 219.000 ₫, 
La Roche-Posay, Kem Dưỡng La Roche-Posay Giúp Phục Hồi Da Đa Công Dụng 40ml, 310.000 ₫, 21%, 390.000 ₫, 
Garnier, Nước Tẩy Trang Garnier Dành Cho Da Dầu Và Mụn 400ml (Mới), 139.000 ₫, 18%, 169.000 ₫, 
CeraVe, Sữa Rửa Mặt CeraVe Cho Da Thường Đến Khô 473ml, 395.000 ₫, 8%, 430.000 ₫, 
Skin1004, Serum Skin1004 Rau Má Giảm Mụn & Phục Hồi Da 100ml, 396.000 ₫, 35%, 610.000 ₫, 
Laneige, Phấn Nước Laneige Cho Lớp Nền Mịn Lì 24H #21N 15g, 619.000 ₫, 2%, 630.000 ₫, 
